conversation_id,agent_id,llm_cost,status,call_duration,date
conv_6201kqkh52tcfv8vwpzebbv8qcx8,agent_9401k3fs5t8pfzqvbsjkcs6xwnze,0.0,done,4,2026-05-02 05:04:05
conv_4201kqkbsmpeezg83t8nk5vwdk5p,agent_9401k3fs5t8pfzqvbsjkcs6xwnze,1.44077325,done,224,2026-05-02 03:30:27
conv_9101kqh3d9bcev89b5070c3ttjts,agent_9401k3fs5t8pfzqvbsjkcs6xwnze,0.0132762,done,48,2026-05-01 06:25:25
conv_4801kqgs5398f2vsch0fspwjxagd,agent_9401k3fs5t8pfzqvbsjkcs6xwnze,0.0,done,7,2026-05-01 03:26:11
conv_1001kqgdsmchf2jrd0d66030kmwg,agent_9401k3fs5t8pfzqvbsjkcs6xwnze,0.0,done,11,2026-05-01 00:07:41
conv_4201kq9cykevehebzyscee3kdzwp,agent_9401k3fs5t8pfzqvbsjkcs6xwnze,0.2616327,done,45,2026-04-28 06:38:14
conv_0301kq958v83ef6swjv09srzxt96,agent_9401k3fs5t8pfzqvbsjkcs6xwnze,0.0,done,7,2026-04-28 04:24:01
conv_8801kq9095yaf5er8jhb0f7ax6jc,agent_9401k3fs5t8pfzqvbsjkcs6xwnze,0.5378047499999999,done,74,2026-04-28 02:56:49
conv_5201kq8w74byedf8wfg6mw1sca61,agent_9401k3fs5t8pfzqvbsjkcs6xwnze,0.0,done,9,2026-04-28 01:45:48
conv_8101kq8v97nxep3v8gc6st4khf4g,agent_9401k3fs5t8pfzqvbsjkcs6xwnze,0.0,done,2,2026-04-28 01:29:28
conv_2401kq8pap0jew8b223q6g6af9wv,agent_9401k3fs5t8pfzqvbsjkcs6xwnze,0.6815277,done,147,2026-04-28 00:02:53
conv_6201kq6y436afqpv5k0ha9fjjm18,agent_9401k3fs5t8pfzqvbsjkcs6xwnze,1.8138063999999996,done,172,2026-04-27 07:40:37
conv_0901kq6nvb4jf7p9qhwe3kdbyzdb,agent_9401k3fs5t8pfzqvbsjkcs6xwnze,0.24325454999999996,done,184,2026-04-27 05:16:01
conv_0301kq6ht5mhfye87mdx8hh1atqs,agent_9401k3fs5t8pfzqvbsjkcs6xwnze,0.0,done,3,2026-04-27 04:05:29
conv_6401kq6hrmz7e4rbhn3yavzzkrtm,agent_9401k3fs5t8pfzqvbsjkcs6xwnze,0.0,done,3,2026-04-27 04:04:39
conv_3901kqr1esbtedc882wrdpbrpsj7,agent_01k0s4qchvea89jm5thv1t9mc6,0.281883,done,165,2026-05-03 23:05:58
conv_6001kqh759h4fkx8zh5y60q4nbsg,agent_01k0s4qchvea89jm5thv1t9mc6,0.15267595,done,100,2026-05-01 07:30:57
conv_4001kqh54tn5er4tj0bwfh93g2y7,agent_01k0s4qchvea89jm5thv1t9mc6,0.0,done,12,2026-05-01 06:55:45
conv_3901kqh49sdtej2s9sx50mwrmac0,agent_01k0s4qchvea89jm5thv1t9mc6,0.2103164,done,96,2026-05-01 06:40:59
conv_1301kqh20rhyfcarx4v0h52war26,agent_01k0s4qchvea89jm5thv1t9mc6,0.16690274999999996,done,97,2026-05-01 06:01:06
conv_4701kqh1tevxem180n3jsj3dh35h,agent_01k0s4qchvea89jm5thv1t9mc6,0.10001879999999999,done,69,2026-05-01 05:57:40
conv_5701kqh0x9w3fg58vtg0qqng6rw4,agent_01k0s4qchvea89jm5thv1t9mc6,0.23142490000000002,done,85,2026-05-01 05:41:44
conv_3401kqgzkk51e1w8gsns3znv8s4b,agent_01k0s4qchvea89jm5thv1t9mc6,0.24687494999999995,done,124,2026-05-01 05:18:57
conv_4601kqgsrfvresdvpak9e5ztjdsg,agent_01k0s4qchvea89jm5thv1t9mc6,0.12932429999999998,done,76,2026-05-01 03:36:46
conv_0001kqgqj4eqebqv221xwn16extz,agent_01k0s4qchvea89jm5thv1t9mc6,0.57745765,done,239,2026-05-01 02:58:21
conv_5701kqgkfpmaezgr2b05ptx7egv2,agent_01k0s4qchvea89jm5thv1t9mc6,0.4967095,done,286,2026-05-01 01:47:07
conv_4901kqggmkxkepdtc86x1134sasa,agent_01k0s4qchvea89jm5thv1t9mc6,0.1325359,done,104,2026-05-01 00:57:22
conv_7701kqgg38dpfkesvyak8t5b1kb1,agent_01k0s4qchvea89jm5thv1t9mc6,0.23869055000000003,done,132,2026-05-01 00:47:53
conv_1301kqgfpsdyfvqt9p488ctpzxf4,agent_01k0s4qchvea89jm5thv1t9mc6,0.0414645,done,49,2026-05-01 00:41:05
conv_5301kqejdx80evetgqx364wdca11,agent_01k0s4qchvea89jm5thv1t9mc6,0.1266153,done,100,2026-04-30 06:50:11
conv_4301kqej76vrfak97jqyesgnd784,agent_01k0s4qchvea89jm5thv1t9mc6,0.16158624999999996,done,110,2026-04-30 06:46:31
conv_8001kqefs2hwfrrs6v6jp36vy9sy,agent_01k0s4qchvea89jm5thv1t9mc6,0.2795226,done,172,2026-04-30 06:03:51
conv_2601kqebzerde0sbp8nc4ms4n9nk,agent_01k0s4qchvea89jm5thv1t9mc6,0.15194234999999998,done,74,2026-04-30 04:57:26
conv_1601kqebgqt9fjq9nptpj25kjgqc,agent_01k0s4qchvea89jm5thv1t9mc6,0.1720957,done,70,2026-04-30 04:49:23
conv_6901kqeaka0hf8vs8caqcfwf4b8s,agent_01k0s4qchvea89jm5thv1t9mc6,0.9263607500000001,done,219,2026-04-30 04:33:19
conv_1201kqe8p34qe2e8c9eta8vabn1m,agent_01k0s4qchvea89jm5thv1t9mc6,0.20686645,done,121,2026-04-30 03:59:53
conv_1101kqe8kjaxfvjrq0z9kw74bkpx,agent_01k0s4qchvea89jm5thv1t9mc6,0.19410229999999998,done,149,2026-04-30 03:58:30
conv_9801kqe6wwgmfvf9e7cmr86xj6e1,agent_01k0s4qchvea89jm5thv1t9mc6,0.1284262,done,79,2026-04-30 03:28:39
conv_6501kqe6vth8fwx8pyp2shgd27gd,agent_01k0s4qchvea89jm5thv1t9mc6,0.08644650000000001,done,26,2026-04-30 03:28:04
conv_5901kqe6j1snf7r9zwgpw0mqts6n,agent_01k0s4qchvea89jm5thv1t9mc6,0.5195001,done,240,2026-04-30 03:22:44
conv_3001kqe44e3jftwb03rsgn6qpj5x,agent_01k0s4qchvea89jm5thv1t9mc6,0.22458414999999998,done,149,2026-04-30 02:40:20
conv_4701kqe40s1ge5ktqe4rp0xt7te0,agent_01k0s4qchvea89jm5thv1t9mc6,0.0,done,12,2026-04-30 02:38:20
conv_3701kqe2syfxe43bjhw0nhqfqbth,agent_01k0s4qchvea89jm5thv1t9mc6,0.0,done,14,2026-04-30 02:17:08
conv_4601kqe03ym7eaas7qfj3p00stb6,agent_01k0s4qchvea89jm5thv1t9mc6,0.19343519999999997,done,99,2026-04-30 01:30:10
conv_4201kqdwzcaef2gbdzmcdzhe4bs5,agent_01k0s4qchvea89jm5thv1t9mc6,0.2531613,done,214,2026-04-30 00:35:15
conv_6601kqdwqm03e32rbeevsyqwv3gn,agent_01k0s4qchvea89jm5thv1t9mc6,0.18850124999999998,done,120,2026-04-30 00:31:00
conv_4801kqdwhkx8em987ef8prkbag4a,agent_01k0s4qchvea89jm5thv1t9mc6,0.16876860000000002,done,59,2026-04-30 00:27:44
conv_4301kqdv9rfmf8mry5yhcrn74mk2,agent_01k0s4qchvea89jm5thv1t9mc6,0.5912049499999998,done,272,2026-04-30 00:05:58
conv_5501kqc4zdfzff3vq51k4ffs8txj,agent_01k0s4qchvea89jm5thv1t9mc6,0.12813955,done,91,2026-04-29 08:16:35
conv_1701kqc3qc5afperze8r0vr64s10,agent_01k0s4qchvea89jm5thv1t9mc6,0.1889405,done,143,2026-04-29 07:54:43
conv_1801kqc2v6a6fnpbe4ymg7tea3za,agent_01k0s4qchvea89jm5thv1t9mc6,0.39910010000000007,done,124,2026-04-29 07:39:20
conv_6901kqc08f6yeewrxsjcrvhrqpyj,agent_01k0s4qchvea89jm5thv1t9mc6,0.16100385,done,90,2026-04-29 06:54:09
conv_7001kqbvs8b2ewwbjrbxzbn9anba,agent_01k0s4qchvea89jm5thv1t9mc6,0.13246170000000002,done,97,2026-04-29 05:35:56
conv_7001kqbvnm1hf32akxnd1ajpkd1c,agent_01k0s4qchvea89jm5thv1t9mc6,0.12208770000000001,done,129,2026-04-29 05:33:57
conv_3301kqbv03w6e1z9e5eeb244kv4v,agent_01k0s4qchvea89jm5thv1t9mc6,0.89449955,done,408,2026-04-29 05:22:13
conv_5301kqbtyk3efvjt14jcwz5jtxh5,agent_01k0s4qchvea89jm5thv1t9mc6,0.16210180000000002,done,89,2026-04-29 05:21:23
conv_8501kqbtswzbfjhtd4dat83a334y,agent_01k0s4qchvea89jm5thv1t9mc6,0.08467585,done,87,2026-04-29 05:18:49
conv_7201kqbtp3tsem4swg4gyqsky3eb,agent_01k0s4qchvea89jm5thv1t9mc6,0.2964313999999999,done,177,2026-04-29 05:16:45
conv_7601kqbtf0j4e4gsfd597r87yyrz,agent_01k0s4qchvea89jm5thv1t9mc6,0.10454045,done,60,2026-04-29 05:12:52
conv_1501kqbtcz9aexb8ex7k5ww4whvm,agent_01k0s4qchvea89jm5thv1t9mc6,0.10479595,done,58,2026-04-29 05:11:45
conv_4701kqbt7y2pf97s3h3djs3kmyc8,agent_01k0s4qchvea89jm5thv1t9mc6,0.1524964,done,101,2026-04-29 05:09:00
conv_7401kqbsqyd5fvfrkdmzdd3ph531,agent_01k0s4qchvea89jm5thv1t9mc6,0.13382075,done,74,2026-04-29 05:00:16
conv_3101kqbqq0b5fdc87gebpp07kn23,agent_01k0s4qchvea89jm5thv1t9mc6,0.1967343,done,96,2026-04-29 04:24:48
conv_0601kqbh6nfxfdqakny7av9dvk1y,agent_01k0s4qchvea89jm5thv1t9mc6,0.1289092,done,97,2026-04-29 02:31:02
conv_7801kqbgkbzffdk9208262ysm25j,agent_01k0s4qchvea89jm5thv1t9mc6,0.19211604999999998,done,104,2026-04-29 02:20:29
conv_8301kqbfwz45fmntt4rq1vrbkjxk,agent_01k0s4qchvea89jm5thv1t9mc6,0.1386861,done,86,2026-04-29 02:08:15
conv_5701kqbft1dweema6qjh93r3by80,agent_01k0s4qchvea89jm5thv1t9mc6,0.0831481,done,70,2026-04-29 02:06:39
conv_2601kqbf8az9e9atpxjrsjzarcc9,agent_01k0s4qchvea89jm5thv1t9mc6,0.2430645,done,181,2026-04-29 01:56:59
conv_9301kqbd5hhpes8r1v2gvsc7qdse,agent_01k0s4qchvea89jm5thv1t9mc6,0.3589967500000001,done,333,2026-04-29 01:20:30
conv_1501kqbd1znjfknsmjt3hkt19n0q,agent_01k0s4qchvea89jm5thv1t9mc6,0.09476075,done,95,2026-04-29 01:18:34
conv_3001kqbcf4wnfh89spgx5ktbhcjc,agent_01k0s4qchvea89jm5thv1t9mc6,0.3131135,done,156,2026-04-29 01:08:17
conv_4401kqb764vyekqsmqazrhqga64r,agent_01k0s4qchvea89jm5thv1t9mc6,0.24476165,done,114,2026-04-28 23:35:59
conv_2701kqb5qvdve4hvy0kgb8d32kcx,agent_01k0s4qchvea89jm5thv1t9mc6,0.37021915000000005,done,228,2026-04-28 23:10:42
conv_9701kqb5pqv1e3qvm8w56ss29mg9,agent_01k0s4qchvea89jm5thv1t9mc6,0.0,done,16,2026-04-28 23:10:05
conv_6001kq9j0sqwe7cbfzz5b1skh0d1,agent_01k0s4qchvea89jm5thv1t9mc6,0.3701502,done,353,2026-04-28 08:06:49
conv_2401kq9hpywef9pbpmh8kmnxyzmz,agent_01k0s4qchvea89jm5thv1t9mc6,0.6850221000000001,done,355,2026-04-28 08:01:27
conv_0601kq9f52w5fx79qv8dqgvdktn5,agent_01k0s4qchvea89jm5thv1t9mc6,0.13303045000000002,done,85,2026-04-28 07:16:44
conv_7901kq9e224degjr4t2szz6xvan6,agent_01k0s4qchvea89jm5thv1t9mc6,0.1667547,done,116,2026-04-28 06:57:36
conv_6201kq9bvckffqw9gx80eh8g67kz,agent_01k0s4qchvea89jm5thv1t9mc6,0.25537889999999996,done,117,2026-04-28 06:19:00
conv_3001kq9btpf1fmc9vvd9vfjj3xys,agent_01k0s4qchvea89jm5thv1t9mc6,0.0,done,6,2026-04-28 06:18:38
conv_6301kq94chyfe6dt10tx2dc2ypz4,agent_01k0s4qchvea89jm5thv1t9mc6,0.17623585,done,85,2026-04-28 04:08:34
conv_3001kq9086hre5vvh4v3fky1q6t4,agent_01k0s4qchvea89jm5thv1t9mc6,0.11315675000000001,done,94,2026-04-28 02:56:17
conv_3301kq903jyhezmr112kwwbgt2we,agent_01k0s4qchvea89jm5thv1t9mc6,0.14869470000000004,done,101,2026-04-28 02:53:46
conv_4801kq8z9gp9e6qa5epg05tdj4py,agent_01k0s4qchvea89jm5thv1t9mc6,0.2694909,done,135,2026-04-28 02:39:32
conv_1801kq8wbvvef9rrgtsabt15aht3,agent_01k0s4qchvea89jm5thv1t9mc6,0.81236925,done,334,2026-04-28 01:48:23
conv_9301kq8wamenfjpb669j24mc799e,agent_01k0s4qchvea89jm5thv1t9mc6,0.42239855,done,251,2026-04-28 01:47:43
conv_4001kq8vgg5xfv1an8dkvfbar51g,agent_01k0s4qchvea89jm5thv1t9mc6,0.2664809,done,141,2026-04-28 01:33:26
conv_3501kq8tdnf7exwvtyt257vb89ab,agent_01k0s4qchvea89jm5thv1t9mc6,0.3099495,done,117,2026-04-28 01:14:25
conv_8001kq8r6gdmft7bbva5nhcrae9r,agent_01k0s4qchvea89jm5thv1t9mc6,0.1357398,done,104,2026-04-28 00:35:33
conv_3101kq6ngmnnes99t4gr0j6qs5e9,agent_01k0s4qchvea89jm5thv1t9mc6,0.47390385,done,183,2026-04-27 05:10:10
conv_5601kq6nfkakebvtzg78mqjdsf3k,agent_01k0s4qchvea89jm5thv1t9mc6,0.0,done,13,2026-04-27 05:09:36
conv_3101kq6d90b1e4gvspqam5vvfdvq,agent_01k0s4qchvea89jm5thv1t9mc6,0.3294389,done,248,2026-04-27 02:46:12
conv_3301kq6b2w03evevasms1dx3fx69,agent_01k0s4qchvea89jm5thv1t9mc6,0.0,done,9,2026-04-27 02:07:54
conv_5701kqnzycaye589xee9fj8t619c,agent_9001kgp5q4dyetxvh6aadtjryme8,0.0,done,7,2026-05-03 04:01:03
conv_9601kqnvg8qge5qspjedg1q88q3s,agent_9001kgp5q4dyetxvh6aadtjryme8,0.197015,done,97,2026-05-03 02:43:26
conv_0001kqkdz45pfgt9z8tev4khzx1s,agent_9001kgp5q4dyetxvh6aadtjryme8,0.0,done,6,2026-05-02 04:08:24
conv_2901kqcaw3r4fabrzn5q2x56jywd,agent_9001kgp5q4dyetxvh6aadtjryme8,0.2104585,done,85,2026-04-29 09:59:39
conv_4401kqdw257met5stqavjw7vcc79,agent_9101ke69d2nsehxvves0kdpd98pb,0.1303029,done,274,2026-04-30 00:19:19
conv_3401kqdhfnbpephat81118ksmz2n,agent_9101ke69d2nsehxvves0kdpd98pb,0.0145495,done,66,2026-04-29 21:14:28
conv_7801kqbjg6ndf21vz9za7k34n388,agent_9101ke69d2nsehxvves0kdpd98pb,0.11603655,done,233,2026-04-29 02:54:10
conv_1301kqbjdq7jftms80qv43835mnh,agent_9101ke69d2nsehxvves0kdpd98pb,,initiated,0,2026-04-29 02:52:21
conv_2601kq959z5pfa38se72ef10veda,agent_7901kn7585h5f6xbs427arqqsg7x,0.0,done,4,2026-04-28 04:24:38
conv_6801kq9586b6fw885pjg3ftapshw,agent_7901kn7585h5f6xbs427arqqsg7x,0.0,done,3,2026-04-28 04:23:40
